loc_code,natearth_subunit,region,decimallatitude,decimallongitude,verbatimelevation,verbatimcoordinates,ecocode
DR21G2,Hawaii,Hawaiʻi,19.6721,-155.3379,1560m,,
DR21G2A,Hawaii,Hawaiʻi,19.6721,-155.3379,1560m,,
DR21G2B,Hawaii,Hawaiʻi,19.6721,-155.3379,1560m,,
DR21G2C,Hawaii,Hawaiʻi,19.6721,-155.3379,1560m,,
DR21G2D,Hawaii,Hawaiʻi,19.6721,-155.3379,1560m,,
DR21H11A,Hawaii,Oʻahu,21.3375,-157.8134,540m,,
DR21H11B,Hawaii,Oʻahu,21.3375,-157.8134,540m,,
DR21I2,Hawaii,Oʻahu,21.5027,-158.1495,1140m,,
DR21J1A,Hawaii,Oʻahu,21.3086,-157.7299,260m,,
DR21J1B,Hawaii,Oʻahu,21.3135,-157.7296,410m,,
DR21J1C,Hawaii,Oʻahu,21.3126,-157.73,390m,,
DR21J2A,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2B,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2C,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2D,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2E,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2F,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2G,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2H,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2I,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2J,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2K,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2L,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2M,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2N,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J2O,Hawaii,Oʻahu,21.467,-158.103,810m,,
DR21J5A,Hawaii,Kauai,22.0982,-159.6115,550m,,
DR21L3C,Hawaii,Oʻahu,21.5401,-158.192,610m,,
DR21J5B,Hawaii,Kauai,22.0982,-159.6115,550m,,
DR21J5C,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5D,Hawaii,Kauai,22.1,-159.6111,560m,,
DR21J5E,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5F,Hawaii,Kauai,22.0984,-159.611,555m,,
DR21J5H,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5I,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5J,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5K,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5L,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J5M,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J13A,Hawaii,Oʻahu,21.315,-157.738,530m,,
DR21J14A,Hawaii,Oʻahu,21.3185,-157.7197,545m,,
DR21J14B,Hawaii,Oʻahu,21.3185,-157.7197,545m,,
DR21J15A,Hawaii,Oʻahu,21.3141,-157.7197,300m,,
DR21J15B,Hawaii,Oʻahu,21.3141,-157.7197,300m,,
DR21K1,Hawaii,Oʻahu,21.5516,-158.221,550m,,
DR21J5G,Hawaii,Kauai,22.1007,-159.6103,565m,,
DR21J6C,Hawaii,Oʻahu,21.353,-157.8334,450m,,
DR21K5A,Hawaii,Oʻahu,21.4491,-157.8917,545m,,
DR21K5B,Hawaii,Oʻahu,21.4499,-157.8899,560m,,
DR21K5C,Hawaii,Oʻahu,21.4502,-157.8887,575m,,
DR21K9A,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9B,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9C,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9D,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9E,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9F,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9G,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9H,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9I,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9J,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9K,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K6C,Hawaii,Oʻahu,21.3376,-157.8108,565m,,
DR21K6B,Hawaii,Oʻahu,21.3379,-157.8108,555m,,
DR21K6A,Hawaii,Oʻahu,21.3381,-157.811,560m,,
DR21K9L,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9M,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9N,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9O,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9P,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9Q,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9R,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9S,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9T,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9U,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9V,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9W,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9X,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9Y,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9Z,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AA,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AB,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AC,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AD,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AE,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AF,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AG,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AH,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21K9AI,Hawaii,Oʻahu,21.5569,-158.2111,460m,,
DR21L1A,Hawaii,Oʻahu,21.5132,-158.1952,855m,,
DR21L1B,Hawaii,Oʻahu,21.5132,-158.1952,855m,,
DR21L1C,Hawaii,Oʻahu,21.5131,-158.2075,630m,,
DR21L1D,Hawaii,Oʻahu,21.5131,-158.2075,630m,,
DR21L2A,Hawaii,Oʻahu,21.5474,-158.2234,435m,,
DR21L2B,Hawaii,Oʻahu,21.5473,-158.2233,455m,,
DR21L2C,Hawaii,Oʻahu,21.5473,-158.2233,455m,,
DR21L2D,Hawaii,Oʻahu,21.5474,-158.2235,440m,,
DR21L2E,Hawaii,Oʻahu,21.5451,-158.2249,420m,,
DR21L3A,Hawaii,Oʻahu,21.541,-158.1912,570m,,
DR21L3B,Hawaii,Oʻahu,21.541,-158.1912,570m,,
DR21L3D,Hawaii,Oʻahu,21.541,-158.1922,585m,,
DR21L3E,Hawaii,Oʻahu,21.5416,-158.1931,610m,,
DR22A2A,Hawaii,Oʻahu,21.367,-157.7922,350m,,
DR22A2B,Hawaii,Oʻahu,21.367,-157.7922,350m,,
DR22A2C,Hawaii,Oʻahu,21.367,-157.7922,350m,,
DR22A3A,Hawaii,Oʻahu,21.5789,-158.2369,8m,,
DR22A14A,Hawaii,Oʻahu,21.5039,-158.1473,1200m,,
DR22A14B,Hawaii,Oʻahu,21.5035,-158.1476,1200m,,
DR22A14C,Hawaii,Oʻahu,21.5127,-158.1455,1120m,,
DR22A14D,Hawaii,Oʻahu,21.507,-158.144,1210m,,
DR22A14E,Hawaii,Oʻahu,21.5112,-158.1454,1150m,,
DR22A14F,Hawaii,Oʻahu,21.5131,-158.1451,1090m,,
DR22A14G,Hawaii,Oʻahu,21.5127,-158.1455,1120m,,
DR22A35A,Hawaii,Oʻahu,21.3421,-157.7876,720m,,
DR22A35B,Hawaii,Oʻahu,21.3421,-157.7876,720m,,
DR22A36,Hawaii,Oʻahu,21.3478,-157.7889,789m,,
DR22A37,Hawaii,Oʻahu,21.3525,-157.7889,895m,,
DR22A38,Hawaii,Oʻahu,21.3478,-157.7889,789m,,
DR22A39,Hawaii,Oʻahu,21.3532,-157.7889,919m,also Ph. sp 5 in Johns et al.,
